Salesman Code,Merge,Salesman BI,Product Group,April,May,June,July,August,September,October,November,December,January,February,March
5490000721,5490000721YY,5490000721,YY,151.99999999869607,266.83333333073585,154.94166666503509,92.183333332418997,309.05833333061503,102.49999999884405,248.61666666431512,211.84444444207909,346.05555555207258,15.79166666645,179.62222222058705,175.56944444227003
5490000721,5490000721TKM,5490000721,TKM,85.2,211.00000000000003,152.60000000000002,141.80000000000001,207.10000000000005,207.60000000000005,252.20000000000007,213.60000000000011,205.40000000000012,170.8,89.800000000000011,226.60000000000011
5490000721,5490000721PDC,5490000721,PDC,114.2598,64.53,75.474199999999996,58.976999999999997,122.3052,81.84,159.89259999999996,168.80399999999995,155.73719999999994,84.382199999999997,45.730699999999999,119.60579999999999
5490000721,5490000721RM,5490000721,RM,77.5,88.740000000000009,56.08,56.5,148.07999999999998,107.6,119.6,45.730000000000004,114,35,53.875,51.3
5490000721,5490000721RDC,5490000721,RDC,31.68,61.92,20.16,56.16,25.200000000000003,54.72,47.519999999999996,14.4,51.84,46.08,43.2,21.6
5490000721,5490000721FP,5490000721,FP,,,,,,,,,,,316.12799999999987,126.19199999999999
5490000721,5490000721AMV,5490000721,AMV,16.999999999728001,9.99999999984,44.99999999928,,37.999999999391996,40.999999999344006,23.999999999616001,39.999999999360007,11.999999999808001,3.9999999999360005,13.99999999968,32.999999999471996
5490000721,5490000721RKR,5490000721,RKR,5.3999999999999995,4.59,16.2,5.3999999999999995,10.799999999999999,34.199999999999996,26.999999999999996,16.2,28.799999999999997,5.129999999999999,23.4,5.3999999999999995
5490000721,5490000721AJP,5490000721,AJP,10.08,,10.08,,20.16,10.08,20.16,,30.240000000000002,,,30.240000000000002
5490000721,5490000721QM,5490000721,QM,,,,,14,13,23,8,15,4,10,8
5490000721,5490000721AJA,5490000721,AJA,,,,,,,,,,,2.9999999999360001,
5490000721,5490000721SWEET,5490000721,SWEET,,,,-0.4,,,,,,,,
5490000721,5490000721STICK,5490000721,STICK,,-0.24,,,-0.06,,-0.28800000000000003,,,-0.28800000000000003,,
5490000720,5490000720RD,5490000720,RD,24742.500000000007,15600.1,175624.8,47132.700000000004,11655.4,21063.599999999995,23159.300000000007,16213.900000000001,31911.799999999992,30826.199999999986,23160.999999999996,32116.599999999995
5490000720,5490000720AJ,5490000720,AJ,20763.099999999999,21043.400000000005,31462,12542.2,25783.3,22771,38293,45497.200000000012,33922.899999999994,27893.599999999995,45596.000000000007,44298.999999999993
5490000720,5490000720BD,5490000720,BD,34622.99999965421,16903.999999831012,14807.999999852198,23692.999999763753,7054.9999999295324,17289.999999827331,8022.9999999199244,27272.999999727519,22041.99999977979,12044.999999879672,15252.999999847587,20633.999999794003
5490000720,5490000720YY,5490000720,YY,10914.999999864984,13285.999999841639,7305.9999998937119,18326.99999976164,20179.999999765856,3913.9999999432048,7750.9999998949525,20356.999999774293,23682.999999684384,14245.99999979643,3985.9999999192642,17028.999999788812
5490000720,5490000720AJP,5490000720,AJP,1743.8400000000004,3094.5600000000004,3870.7200000000025,3709.4400000000005,2338.559999999999,2479.6800000000017,4233.6000000000031,4445.2800000000016,5140.8000000000011,2328.4800000000014,4374.7200000000012,6219.3600000000042
5490000720,5490000720TKM,5490000720,TKM,1219.2,2089.1999999999998,2428.8000000000002,1905.6,3651.6000000000013,2514.0000000000009,3355.2000000000007,3836.4000000000015,2574.0000000000014,3891.6000000000008,2512.7999999999997,3927.6000000000013
5490000720,5490000720PDC,5490000720,PDC,6992.159400000005,162.9864,1052.7084,1401.0317999999997,1039.9086000000002,1336.4801999999997,1099.2617999999998,2651.6375999999987,2195.2079999999974,1611.2285999999995,1534.0067999999992,2629.5353999999979
5490000720,5490000720ND,5490000720,ND,380.76,979.04,1593.5000000000009,594.9,616.91999999999996,1128.46,981.6,786.2,678.06,1149.8600000000001,991.84,1120.98
5490000720,5490000720RM,5490000720,RM,567.79999999999995,708.40000000000009,1047.1999999999998,303,210.60000000000002,751.8,1350.8000000000002,707.2,1269.2,768.8,732.60000000000014,896.2
5490000720,5490000720RDC,5490000720,RDC,184.89600000000004,323.71200000000005,326.59199999999987,203.32799999999995,261.50400000000002,433.72799999999995,202.7519999999999,337.53600000000006,639.93599999999969,318.52800000000002,230.97599999999997,385.34400000000005
5490000720,5490000720RKR,5490000720,RKR,210.60000000000008,151.20000000000002,232.20000000000005,48.599999999999994,194.4,156.6,540.00000000000023,345.60000000000019,356.40000000000009,97.199999999999989,334.80000000000013,162.00000000000003
5490000720,5490000720HDSH,5490000720,HDSH,96,204,168,252,276,144,240,252,228,240,144,312
5490000720,5490000720LPD,5490000720,LPD,108,108,156,108,96,102,126,126,96,198,150,168
5490000719,5490000719AJ,5490000719,AJ,264672,273057.2,243160,275276,269772,266682.40000000002,324536,385240,246880,220788,292528,341636
5490000719,5490000719RD,5490000719,RD,156526.60000000003,157634.20000000007,156825.80000000002,148699.20000000004,153953.20000000004,187839.30000000005,214441.00000000012,226150.10000000006,175622.90000000005,142213.50000000003,163078.29999999999,230817.70000000007
